,home_team,away_team,rank,standings_gap,date_night,attendance,cLI,orig_scheduled,date
2054,HOU,CIN,2,-2.0,D,37794,0.93,,2025-05-11
2055,HOU,KCR,3,-2.0,N,26386,1.06,,2025-05-12
2056,HOU,KCR,3,-2.0,N,27114,0.98,,2025-05-13
2057,HOU,KCR,2,-1.0,N,24641,1.02,,2025-05-14
2065,HOU,SEA,2,-2.5,N,29512,1.18,,2025-05-22
2066,HOU,SEA,2,-3.5,N,34664,1.23,,2025-05-23
2067,HOU,SEA,2,-2.5,D,35785,1.18,,2025-05-24
2068,HOU,SEA,2,-1.5,D,35526,1.16,,2025-05-25
2069,HOU,ATH,2,-1.5,N,36123,1.11,,2025-05-27
2070,HOU,ATH,2,-0.5,D,25122,1.17,,2025-05-28
2071,HOU,TBR,2,-0.5,N,29661,1.26,,2025-05-29
2072,HOU,TBR,1,0.5,N,32115,1.22,,2025-05-30
2073,HOU,TBR,2,-0.5,D,33033,1.25,,2025-05-31
2075,HOU,TBR,2,-0.5,D,33938,1.25,,2025-06-01
2082,HOU,CHW,1,3.0,N,28950,1.28,,2025-06-10
2083,HOU,CHW,1,4.0,N,28519,1.22,,2025-06-11
2084,HOU,CHW,1,4.5,N,28003,1.27,,2025-06-12
2085,HOU,MIN,1,4.5,N,38402,1.31,,2025-06-13
2086,HOU,MIN,1,4.5,D,36315,1.35,,2025-06-14
2087,HOU,MIN,1,4.5,D,39757,1.38,,2025-06-15
2095,HOU,PHI,1,4.5,N,31245,1.32,,2025-06-24
2096,HOU,PHI,1,5.5,N,28826,1.37,,2025-06-25
2097,HOU,PHI,1,6.5,D,37130,1.31,,2025-06-26
2098,HOU,CHC,1,6.5,N,39451,1.29,,2025-06-27
2099,HOU,CHC,1,6.5,N,39218,1.25,,2025-06-28
2100,HOU,CHC,1,6.5,D,37319,1.3,,2025-06-29
2108,HOU,CLE,1,6.5,N,27472,1.09,,2025-07-07
2109,HOU,CLE,1,6.5,N,30681,1.12,,2025-07-08
2110,HOU,CLE,1,6.5,N,27683,1.18,,2025-07-09
2111,HOU,TEX,1,6.0,N,40233,1.35,,2025-07-11
2112,HOU,TEX,1,6.0,N,39696,1.41,,2025-07-12
2113,HOU,TEX,1,5.0,D,37939,1.4,,2025-07-13
2120,HOU,ATH,1,5.0,N,32386,1.28,,2025-07-24
2121,HOU,ATH,1,5.0,N,37700,1.34,,2025-07-25
2122,HOU,ATH,1,4.0,N,36213,1.42,,2025-07-26
2123,HOU,ATH,1,4.0,D,36976,1.47,,2025-07-27
2124,HOU,WSN,1,3.0,N,28786,1.55,,2025-07-28
2125,HOU,WSN,1,4.0,N,35741,1.58,,2025-07-29
2126,HOU,WSN,1,5.0,D,31357,1.55,,2025-07-30
2137,HOU,BOS,1,1.0,N,39330,1.74,,2025-08-11
2138,HOU,BOS,1,0.0,N,34396,1.7,,2025-08-12
2139,HOU,BOS,1,1.0,N,31048,1.81,,2025-08-13
2140,HOU,BAL,1,0.5,N,33654,1.56,,2025-08-15
2141,HOU,BAL,1,1.5,N,37641,1.56,,2025-08-16
2142,HOU,BAL,1,1.5,D,36411,1.52,,2025-08-17
2150,HOU,COL,1,1.5,N,35433,1.42,,2025-08-26
2151,HOU,COL,1,1.5,N,28338,1.45,,2025-08-27
2152,HOU,COL,1,2.0,D,29523,1.53,,2025-08-28
2153,HOU,LAA,1,3.0,N,33841,1.55,,2025-08-29
2154,HOU,LAA,1,3.0,N,38559,1.57,,2025-08-30
2155,HOU,LAA,1,2.0,D,36811,1.69,,2025-08-31
2157,HOU,LAA,1,3.0,D,33247,1.6,,2025-09-01
2158,HOU,NYY,1,3.0,N,33133,1.85,,2025-09-02
2159,HOU,NYY,1,4.0,N,30693,1.67,,2025-09-03
2160,HOU,NYY,1,3.5,N,35018,1.6,,2025-09-04
2170,HOU,TEX,2,-0.5,N,30484,2.55,,2025-09-15
2171,HOU,TEX,2,-0.5,N,35026,2.32,,2025-09-16
2172,HOU,TEX,1,0.5,N,33084,1.97,,2025-09-17
2173,HOU,SEA,2,-1.0,N,41471,3.16,,2025-09-19
2174,HOU,SEA,2,-2.0,N,42065,3.64,,2025-09-20
2175,HOU,SEA,2,-3.0,N,41893,3.21,,2025-09-21
2182,KCR,CLE,3,-1.0,D,39393,1.02,,2025-03-27
2183,KCR,CLE,1,0.0,D,22019,0.98,,2025-03-29
2184,KCR,CLE,2,-1.0,D,15414,1.01,,2025-03-30
2189,KCR,BAL,1,0.0,N,14196,0.87,,2025-04-04
2190,KCR,BAL,2,-1.0,D,14383,0.95,,2025-04-05
2191,KCR,BAL,2,-1.0,D,19098,0.9,,2025-04-06
2192,KCR,MIN,2,-1.0,N,12041,1.0,,2025-04-07
2193,KCR,MIN,2,-1.0,N,13008,1.05,,2025-04-08
2194,KCR,MIN,2,-1.0,N,13156,1.02,,2025-04-09
2195,KCR,MIN,2,-0.5,D,14730,1.04,,2025-04-10
2206,KCR,COL,3,-4.5,N,14567,0.69,,2025-04-22
2208,KCR,COL,3,-3.5,D,15601,0.84,,2025-04-24
2209,KCR,HOU,3,-3.0,N,19003,0.93,,2025-04-25
2210,KCR,HOU,3,-3.5,N,25378,0.97,,2025-04-26
2211,KCR,HOU,3,-4.5,D,21171,1.0,,2025-04-27
2219,KCR,CHW,3,-2.5,N,12529,1.09,,2025-05-05
2220,KCR,CHW,3,-2.0,N,15968,1.14,,2025-05-06
2221,KCR,CHW,3,-2.0,N,12328,1.16,,2025-05-07
2222,KCR,CHW,2,-2.5,D,25386,1.16,,2025-05-08
2223,KCR,BOS,2,-2.5,N,30348,1.16,,2025-05-09
2224,KCR,BOS,2,-2.5,N,29460,1.2,,2025-05-10
2225,KCR,BOS,2,-2.5,D,25785,1.19,,2025-05-11
2229,KCR,STL,4,-5.5,N,28104,1.08,,2025-05-16
2230,KCR,STL,4,-5.5,N,36134,1.04,,2025-05-17
2231,KCR,STL,3,-5.5,D,25695,0.99,,2025-05-18
2238,KCR,CIN,4,-6.0,D,18002,1.06,,2025-05-26
2239,KCR,CIN,4,-7.0,N,17383,0.96,,2025-05-27
2240,KCR,CIN,4,-7.0,N,15430,0.95,,2025-05-28
2241,KCR,DET,4,-8.0,N,28785,1.1,,2025-05-30
2242,KCR,DET,4,-7.0,D,35005,1.03,,2025-05-31
2244,KCR,DET,4,-8.0,D,24474,1.13,,2025-06-01
2251,KCR,NYY,4,-9.5,N,30017,0.95,,2025-06-10
2252,KCR,NYY,4,-9.5,N,21182,0.9,,2025-06-11
2253,KCR,NYY,4,-10.5,N,23412,0.82,,2025-06-12
2254,KCR,ATH,4,-11.5,N,29586,0.71,,2025-06-13
2255,KCR,ATH,4,-11.5,D,29034,0.68,,2025-06-14
2256,KCR,ATH,4,-11.5,D,27272,0.62,,2025-06-15
2263,KCR,TBR,3,-11.5,N,22951,0.78,,2025-06-24
2264,KCR,TBR,3,-11.5,N,20649,0.7,,2025-06-25
2265,KCR,TBR,4,-12.5,D,19619,0.61,,2025-06-26
2266,KCR,LAD,4,-12.5,N,35187,0.47,,2025-06-27
2267,KCR,LAD,4,-12.5,D,36578,0.43,,2025-06-28
2268,KCR,LAD,4,-13.5,D,28671,0.5,,2025-06-29
2277,KCR,PIT,2,-14.0,N,18614,0.47,,2025-07-07
2278,KCR,PIT,2,-14.0,N,22855,0.51,,2025-07-08
2279,KCR,PIT,2,-13.0,N,18398,0.58,,2025-07-09
2280,KCR,NYM,3,-13.0,N,28268,0.61,,2025-07-11
2281,KCR,NYM,3,-13.0,D,24620,0.52,,2025-07-12
2282,KCR,NYM,3,-12.0,D,22121,0.46,,2025-07-13
2289,KCR,CLE,3,-8.5,D,21794,0.66,,2025-07-26
2290,KCR,CLE,3,-8.5,N,25278,0.73,,2025-07-26
2291,KCR,CLE,3,-8.5,D,16590,0.67,,2025-07-27
2292,KCR,ATL,3,-9.5,N,23850,0.66,,2025-07-28
2293,KCR,ATL,3,-9.5,N,22562,0.61,,2025-07-29
2294,KCR,ATL,3,-9.5,D,17726,0.68,,2025-07-30
2305,KCR,WSN,3,-9.5,N,17568,0.54,,2025-08-11
2306,KCR,WSN,3,-8.5,N,19334,0.62,,2025-08-12
2307,KCR,WSN,3,-9.5,D,13669,0.66,,2025-08-13
2308,KCR,CHW,3,-10.0,N,20829,0.61,,2025-08-15
2309,KCR,CHW,3,-10.0,N,28355,0.67,,2025-08-16
2310,KCR,CHW,3,-9.0,D,15114,0.73,,2025-08-17
2311,KCR,TEX,3,-9.0,N,12747,0.93,,2025-08-18
2312,KCR,TEX,2,-9.0,N,14176,1.06,,2025-08-19
2313,KCR,TEX,2,-10.0,N,14312,1.01,,2025-08-20
2314,KCR,TEX,2,-9.5,D,13527,1.07,,2025-08-21
2321,KCR,DET,2,-9.5,N,34494,1.05,,2025-08-29
2322,KCR,DET,2,-8.5,N,26237,0.85,,2025-08-30
2323,KCR,DET,2,-9.5,D,23689,1.02,,2025-08-31
2325,KCR,LAA,2,-9.0,N,13685,0.84,,2025-09-02
2326,KCR,LAA,2,-10.0,N,15924,0.82,,2025-09-03
2327,KCR,LAA,2,-9.5,N,17352,0.67,,2025-09-04
2328,KCR,MIN,2,-8.5,N,16255,0.79,,2025-09-05
2329,KCR,MIN,2,-8.5,N,21771,0.97,,2025-09-06
2330,KCR,MIN,2,-8.5,D,26505,1.06,,2025-09-07
2338,KCR,SEA,3,-10.0,N,20017,0.05,,2025-09-16
2339,KCR,SEA,3,-9.0,N,19127,0.01,,2025-09-17
2340,KCR,SEA,3,-9.0,D,18137,0.01,,2025-09-18
2341,KCR,TOR,3,-8.0,N,26459,0.0,,2025-09-19
2342,KCR,TOR,3,-7.0,N,25774,0.0,,2025-09-20
2343,KCR,TOR,3,-7.0,D,32936,0.0,,2025-09-21
2357,LAA,CLE,2,-1.5,N,44749,1.03,,2025-04-04
2358,LAA,CLE,2,-1.5,N,41128,1.01,,2025-04-05
2359,LAA,CLE,2,-1.5,D,41480,1.07,,2025-04-06
2369,LAA,SFG,2,-1.5,N,43912,0.96,,2025-04-18
2370,LAA,SFG,3,-2.5,N,44374,0.98,,2025-04-19
2371,LAA,SFG,3,-1.5,D,36026,0.95,,2025-04-20
2372,LAA,PIT,4,-2.5,N,30439,1.01,,2025-04-22
2373,LAA,PIT,4,-2.5,N,31256,0.98,,2025-04-23
2374,LAA,PIT,4,-1.5,N,29060,0.91,,2025-04-24
2381,LAA,DET,5,-6.0,N,28486,0.75,,2025-05-01
2382,LAA,DET,5,-7.0,N,29870,0.68,,2025-05-02
2383,LAA,DET,5,-7.0,N,31335,0.63,,2025-05-03
2384,LAA,DET,5,-7.0,D,37554,0.65,,2025-05-04
2385,LAA,TOR,5,-6.5,N,25867,0.63,,2025-05-06
2386,LAA,TOR,5,-6.5,N,26646,0.66,,2025-05-07
2387,LAA,TOR,5,-7.0,N,26245,0.7,,2025-05-08
2388,LAA,BAL,5,-7.0,N,30778,0.6,,2025-05-09
2389,LAA,BAL,5,-6.0,N,27975,0.57,,2025-05-10
2390,LAA,BAL,5,-6.0,D,29460,0.61,,2025-05-11
2401,LAA,MIA,3,-4.0,N,28116,0.89,,2025-05-23
2402,LAA,MIA,3,-4.0,N,29301,0.95,,2025-05-24
2403,LAA,MIA,3,-4.0,D,37074,0.98,,2025-05-25
2404,LAA,NYY,3,-4.5,N,43626,0.94,,2025-05-26
2405,LAA,NYY,4,-5.5,N,34491,0.85,,2025-05-27
2406,LAA,NYY,4,-5.5,N,36808,0.77,,2025-05-28
2414,LAA,SEA,3,-5.5,N,34915,0.77,,2025-06-06
2415,LAA,SEA,3,-5.5,N,29407,0.78,,2025-06-07
2416,LAA,SEA,3,-5.5,D,31416,0.86,,2025-06-08
2417,LAA,ATH,3,-5.0,N,24884,0.71,,2025-06-09
2418,LAA,ATH,3,-4.0,N,27480,0.75,,2025-06-10
2419,LAA,ATH,2,-4.0,D,21741,0.82,,2025-06-11
2427,LAA,HOU,4,-7.5,N,29580,0.98,,2025-06-20
2428,LAA,HOU,4,-6.5,N,32326,0.82,,2025-06-21
2429,LAA,HOU,4,-7.5,D,29154,0.93,,2025-06-22
2430,LAA,BOS,3,-7.0,N,30137,0.8,,2025-06-23
2431,LAA,BOS,3,-7.0,N,33115,0.85,,2025-06-24
2432,LAA,BOS,3,-7.0,D,28301,0.89,,2025-06-25
2433,LAA,WSN,3,-8.5,N,34289,0.88,,2025-06-27
2434,LAA,WSN,3,-7.5,N,39623,0.81,,2025-06-28
2435,LAA,WSN,3,-8.5,D,33661,0.89,,2025-06-29
2443,LAA,TEX,3,-10.5,N,24382,0.7,,2025-07-07
2444,LAA,TEX,4,-10.5,N,26368,0.77,,2025-07-08
2445,LAA,TEX,3,-9.5,N,25462,0.66,,2025-07-09
2446,LAA,TEX,4,-10.0,N,27071,0.76,,2025-07-10
2447,LAA,ARI,4,-9.0,N,35209,0.63,,2025-07-11
2448,LAA,ARI,3,-9.0,N,43008,0.63,,2025-07-12
2449,LAA,ARI,4,-9.0,D,26773,0.71,,2025-07-13
2456,LAA,SEA,4,-11.0,N,28532,0.56,,2025-07-24
2457,LAA,SEA,4,-10.0,N,37821,0.45,,2025-07-25
2458,LAA,SEA,4,-10.0,N,40836,0.57,,2025-07-26
2459,LAA,SEA,4,-9.0,D,27219,0.47,,2025-07-27
2460,LAA,TEX,4,-8.0,N,24538,0.56,,2025-07-28
2461,LAA,TEX,4,-8.0,N,26390,0.66,,2025-07-29
2462,LAA,TEX,4,-9.0,N,27162,0.72,,2025-07-30
2464,LAA,CHW,4,-9.0,N,29937,0.49,,2025-08-01
2465,LAA,CHW,4,-9.0,N,39161,0.44,,2025-08-02
2466,LAA,CHW,4,-8.0,D,30963,0.34,,2025-08-03
2467,LAA,TBR,4,-8.0,N,25754,0.41,,2025-08-04
2468,LAA,TBR,4,-9.0,N,27018,0.48,,2025-08-05
2469,LAA,TBR,4,-9.0,D,22064,0.35,,2025-08-06
2473,LAA,LAD,4,-10.0,N,44571,0.21,,2025-08-11
2474,LAA,LAD,4,-9.0,N,44741,0.23,,2025-08-12
2475,LAA,LAD,4,-9.0,N,44893,0.26,,2025-08-13
2479,LAA,CIN,4,-9.0,N,25421,0.27,,2025-08-18
2480,LAA,CIN,4,-9.0,N,22276,0.23,,2025-08-19
2481,LAA,CIN,4,-8.0,N,27083,0.21,,2025-08-20
2482,LAA,CHC,4,-9.5,N,39872,0.24,,2025-08-22
2483,LAA,CHC,4,-10.5,N,44355,0.15,,2025-08-23
2484,LAA,CHC,4,-10.5,D,41206,0.13,,2025-08-24
2496,LAA,ATH,4,-10.5,N,30779,0.03,,2025-09-05
2497,LAA,ATH,4,-11.5,N,35816,0.01,,2025-09-06
2498,LAA,ATH,4,-10.5,D,33053,0.01,,2025-09-07
2499,LAA,MIN,4,-11.0,N,28824,0.01,,2025-09-08
2500,LAA,MIN,4,-10.0,N,29694,0.0,,2025-09-09
2501,LAA,MIN,4,-10.0,D,20746,0.0,,2025-09-10
2512,LAA,KCR,5,-18.0,N,30861,0.0,,2025-09-23
2513,LAA,KCR,5,-18.0,N,29266,0.0,,2025-09-24
2514,LAA,KCR,5,-19.0,N,35752,0.0,,2025-09-25
2515,LAA,HOU,5,-18.0,N,37448,0.0,,2025-09-26
2516,LAA,HOU,5,-18.0,N,36487,0.0,,2025-09-27
2517,LAA,HOU,5,-18.0,D,30609,0.0,,2025-09-28
2520,LAD,DET,1,1.0,D,53595,0.98,,2025-03-27
2521,LAD,DET,1,1.0,N,52029,0.98,,2025-03-28
2522,LAD,DET,1,1.0,N,51788,1.02,,2025-03-29
2523,LAD,ATL,1,0.5,N,50816,1.07,,2025-03-31
2525,LAD,ATL,1,0.5,N,50182,1.1,,2025-04-01
2526,LAD,ATL,1,0.5,N,50281,1.1,,2025-04-02
2533,LAD,CHC,2,-0.5,N,53933,1.09,,2025-04-11
2534,LAD,CHC,2,-1.5,N,53887,1.14,,2025-04-12
2535,LAD,CHC,3,-2.5,D,50899,1.13,,2025-04-13
2536,LAD,COL,3,-2.5,N,52693,1.05,,2025-04-14
2537,LAD,COL,2,-1.5,N,53198,1.03,,2025-04-15
2538,LAD,COL,2,-1.5,N,52143,1.06,,2025-04-16
2544,LAD,PIT,3,-1.0,N,53655,1.13,,2025-04-25
2545,LAD,PIT,2,-0.5,N,54012,1.13,,2025-04-26
2546,LAD,PIT,2,-0.5,D,49512,1.14,,2025-04-27
2547,LAD,MIA,1,0.0,N,48232,1.19,,2025-04-28
2548,LAD,MIA,1,1.0,N,46502,1.2,,2025-04-29
2549,LAD,MIA,1,1.5,D,47192,1.22,,2025-04-30
2561,LAD,ATH,1,0.5,N,45161,1.18,,2025-05-13
2562,LAD,ATH,1,0.5,N,50071,1.15,,2025-05-14
2563,LAD,ATH,1,1.0,N,51272,1.16,,2025-05-15
2564,LAD,LAA,1,1.0,N,46273,1.17,,2025-05-16
2565,LAD,LAA,1,1.0,N,50084,1.2,,2025-05-17
2566,LAD,LAA,1,1.0,D,51997,1.18,,2025-05-18
2567,LAD,ARI,1,0.5,N,41372,1.39,,2025-05-19
2568,LAD,ARI,1,1.0,N,51932,1.36,,2025-05-20
2569,LAD,ARI,1,2.0,N,43517,1.35,,2025-05-21
2576,LAD,NYY,1,2.0,N,53276,1.23,,2025-05-30
2577,LAD,NYY,1,3.0,D,51746,1.25,,2025-05-31
2579,LAD,NYY,1,2.0,D,54031,1.26,,2025-06-01
2580,LAD,NYM,1,1.0,N,48556,1.4,,2025-06-02
2581,LAD,NYM,1,1.0,N,53424,1.35,,2025-06-03
2582,LAD,NYM,1,1.0,N,45733,1.4,,2025-06-04
2583,LAD,NYM,1,2.0,D,46364,1.4,,2025-06-05
2590,LAD,SFG,1,0.0,N,53022,1.5,,2025-06-13
2591,LAD,SFG,1,1.0,N,51548,1.51,,2025-06-14
2592,LAD,SFG,1,2.0,D,53980,1.5,,2025-06-15
2593,LAD,SDP,1,2.5,N,53207,1.49,,2025-06-16
2594,LAD,SDP,1,3.5,N,51555,1.44,,2025-06-17
2595,LAD,SDP,1,4.5,N,53568,1.47,,2025-06-18
2596,LAD,SDP,1,3.5,N,53280,1.41,,2025-06-19
2597,LAD,WSN,1,4.5,N,46558,1.37,,2025-06-20
2598,LAD,WSN,1,3.5,N,54154,1.28,,2025-06-21
2599,LAD,WSN,1,3.5,D,48177,1.35,,2025-06-22
2607,LAD,CHW,1,8.0,N,51368,1.12,,2025-07-01
2608,LAD,CHW,1,8.5,N,53536,1.04,,2025-07-02
2609,LAD,CHW,1,9.0,N,53530,0.98,,2025-07-03
2610,LAD,HOU,1,8.0,N,53377,1.01,,2025-07-04
2611,LAD,HOU,1,8.0,D,49744,1.05,,2025-07-05
2612,LAD,HOU,1,7.0,D,41291,1.12,,2025-07-06
2619,LAD,MIL,1,4.5,N,49281,1.51,,2025-07-18
2620,LAD,MIL,1,4.5,N,53540,1.52,,2025-07-19
2621,LAD,MIL,1,3.5,D,40376,1.56,,2025-07-20
2622,LAD,MIN,1,3.5,N,51121,1.49,,2025-07-21
2623,LAD,MIN,1,3.5,N,45074,1.46,,2025-07-22
2624,LAD,MIN,1,4.5,D,40094,1.46,,2025-07-23
2635,LAD,STL,1,3.0,N,46628,1.44,,2025-08-04
2636,LAD,STL,1,3.0,N,50477,1.46,,2025-08-05
2637,LAD,STL,1,2.0,D,44621,1.46,,2025-08-06
2638,LAD,TOR,1,3.0,N,53825,1.47,,2025-08-08
2639,LAD,TOR,1,3.0,N,44727,1.44,,2025-08-09
2640,LAD,TOR,1,2.0,D,41557,1.38,,2025-08-10
2644,LAD,SDP,1,0.0,N,53119,1.86,,2025-08-15
2645,LAD,SDP,1,1.0,N,53606,1.76,,2025-08-16
2646,LAD,SDP,1,2.0,D,48189,1.77,,2025-08-17
2654,LAD,CIN,1,1.0,N,49702,1.36,,2025-08-25
2655,LAD,CIN,1,1.0,N,44943,1.4,,2025-08-26
2656,LAD,CIN,1,2.0,N,49199,1.41,,2025-08-27
2657,LAD,ARI,1,2.0,N,45701,1.39,,2025-08-29
2658,LAD,ARI,1,1.0,N,47632,1.43,,2025-08-30
2659,LAD,ARI,1,2.0,D,51803,1.33,,2025-08-31
2667,LAD,COL,1,1.0,N,48433,1.11,,2025-09-08
2668,LAD,COL,1,2.0,N,44126,1.05,,2025-09-09
2669,LAD,COL,1,3.0,N,50805,0.96,,2025-09-10
2673,LAD,PHI,1,2.0,N,43602,1.04,,2025-09-15
2674,LAD,PHI,1,2.0,N,44063,0.4,,2025-09-16
2675,LAD,PHI,1,2.0,N,50859,0.28,,2025-09-17
2676,LAD,SFG,1,3.0,N,41225,0.3,,2025-09-18
2677,LAD,SFG,1,4.0,N,53037,0.22,,2025-09-19
2678,LAD,SFG,1,4.0,N,53251,0.11,,2025-09-20
2679,LAD,SFG,1,3.0,D,46601,0.17,,2025-09-21
2686,MIA,PIT,1,0.0,D,31693,0.9,,2025-03-27
2687,MIA,PIT,2,-0.5,N,9590,0.97,,2025-03-28
2688,MIA,PIT,2,-0.5,D,10207,0.93,,2025-03-29
2689,MIA,PIT,1,0.5,D,15490,0.96,,2025-03-30
2690,MIA,NYM,2,-0.5,N,12953,1.07,,2025-03-31
2692,MIA,NYM,1,0.0,N,13740,1.06,,2025-04-01
2693,MIA,NYM,2,-1.0,D,10598,1.09,,2025-04-02
2699,MIA,WSN,3,-3.0,N,9094,0.95,,2025-04-11
2700,MIA,WSN,3,-2.0,D,18549,0.89,,2025-04-12
2701,MIA,WSN,3,-2.0,D,14032,0.96,,2025-04-13
2702,MIA,ARI,3,-2.5,N,7324,0.93,,2025-04-15
2703,MIA,ARI,3,-2.5,N,8438,0.9,,2025-04-16
2704,MIA,ARI,3,-3.5,D,8616,0.85,,2025-04-17
2708,MIA,CIN,3,-5.5,N,7646,0.76,,2025-04-21
2709,MIA,CIN,3,-5.5,N,7996,0.75,,2025-04-22
2710,MIA,CIN,3,-6.5,D,6575,0.83,,2025-04-23
2718,MIA,ATH,5,-9.0,N,8864,0.52,,2025-05-02
2719,MIA,ATH,5,-8.5,D,13543,0.5,,2025-05-03
2720,MIA,ATH,5,-8.0,D,17690,0.5,,2025-05-04
2721,MIA,LAD,5,-9.0,N,15395,0.49,,2025-05-05
2722,MIA,LAD,5,-8.0,N,17312,0.42,,2025-05-06
2723,MIA,LAD,5,-9.0,D,13635,0.49,,2025-05-07
2730,MIA,TBR,5,-10.0,N,11714,0.3,,2025-05-16
2731,MIA,TBR,5,-11.0,D,12052,0.34,,2025-05-17
2732,MIA,TBR,5,-10.0,D,10529,0.29,,2025-05-18
2733,MIA,CHC,5,-9.5,N,9935,0.33,,2025-05-19
2734,MIA,CHC,5,-10.5,N,9567,0.36,,2025-05-20
2735,MIA,CHC,5,-11.5,D,7482,0.33,,2025-05-21
2742,MIA,SFG,5,-13.0,N,10361,0.25,,2025-05-30
2743,MIA,SFG,5,-12.0,D,12387,0.21,,2025-05-31
2745,MIA,SFG,5,-13.0,D,13422,0.22,,2025-06-01
2746,MIA,COL,5,-14.0,N,5894,0.16,,2025-06-02
2747,MIA,COL,5,-14.0,N,7583,0.15,,2025-06-03
2748,MIA,COL,5,-15.0,D,6261,0.12,,2025-06-04
2758,MIA,PHI,5,-16.0,N,9898,0.13,,2025-06-16
2759,MIA,PHI,4,-15.0,N,8300,0.11,,2025-06-17
2760,MIA,PHI,4,-15.0,N,9570,0.13,,2025-06-18
2761,MIA,PHI,5,-15.0,N,10411,0.1,,2025-06-19
2762,MIA,ATL,4,-15.0,N,12146,0.07,,2025-06-20
2763,MIA,ATL,5,-15.0,D,21198,0.07,,2025-06-21
2764,MIA,ATL,4,-15.0,D,16486,0.06,,2025-06-22
2772,MIA,MIN,3,-11.0,N,7860,0.24,,2025-07-01
2773,MIA,MIN,4,-11.5,N,7596,0.27,,2025-07-02
2774,MIA,MIN,3,-11.0,D,9690,0.21,,2025-07-03
2775,MIA,MIL,3,-11.0,N,16715,0.25,,2025-07-04
2776,MIA,MIL,3,-11.0,D,11378,0.21,,2025-07-05
2777,MIA,MIL,3,-12.0,D,12513,0.23,,2025-07-06
2785,MIA,KCR,3,-9.5,N,14442,0.2,,2025-07-18
2786,MIA,KCR,3,-9.5,D,14292,0.24,,2025-07-19
2787,MIA,KCR,3,-9.5,D,18219,0.29,,2025-07-20
2788,MIA,SDP,3,-10.5,N,11128,0.26,,2025-07-21
2789,MIA,SDP,3,-10.5,N,11621,0.2,,2025-07-22
2790,MIA,SDP,3,-10.0,D,15137,0.24,,2025-07-23
2798,MIA,NYY,3,-8.5,N,32299,0.4,,2025-08-01
2799,MIA,NYY,3,-8.0,D,34645,0.42,,2025-08-02
2800,MIA,NYY,3,-7.5,D,34601,0.47,,2025-08-03
2801,MIA,HOU,3,-8.5,N,10827,0.52,,2025-08-04
2802,MIA,HOU,3,-9.5,N,12186,0.46,,2025-08-05
2803,MIA,HOU,3,-8.5,D,10073,0.35,,2025-08-06
2815,MIA,STL,3,-13.0,N,8555,0.19,,2025-08-18
2816,MIA,STL,3,-14.0,N,7612,0.14,,2025-08-19
2817,MIA,STL,3,-14.0,N,9304,0.13,,2025-08-20
2818,MIA,TOR,3,-14.0,N,14923,0.1,,2025-08-22
2819,MIA,TOR,3,-15.0,D,24943,0.06,,2025-08-23
2820,MIA,TOR,3,-15.0,D,20620,0.04,,2025-08-24
2821,MIA,ATL,3,-14.0,N,8111,0.06,,2025-08-25
2822,MIA,ATL,3,-14.0,N,8576,0.08,,2025-08-26
2823,MIA,ATL,3,-14.0,D,12453,0.05,,2025-08-27
2832,MIA,PHI,3,-17.0,N,15118,0.01,,2025-09-05
2833,MIA,PHI,3,-18.0,D,23877,0.0,,2025-09-06
2834,MIA,PHI,3,-17.0,D,30223,0.0,,2025-09-07
2835,MIA,WSN,3,-18.0,N,7992,0.0,,2025-09-08
2836,MIA,WSN,3,-19.0,N,8634,0.0,,2025-09-09
2837,MIA,WSN,3,-19.0,N,9038,0.0,,2025-09-10
2838,MIA,WSN,3,-19.0,N,10110,0.0,,2025-09-11
2839,MIA,DET,3,-19.0,N,16926,0.0,,2025-09-12
2840,MIA,DET,3,-19.0,D,21014,0.0,,2025-09-13
2841,MIA,DET,3,-19.0,D,24638,0.01,,2025-09-14
2851,MIA,NYM,3,-17.0,N,34546,0.0,,2025-09-26
2852,MIA,NYM,3,-17.0,D,35609,0.0,,2025-09-27
2853,MIA,NYM,3,-17.0,D,34660,0.0,,2025-09-28
2857,MIL,KCR,5,-3.0,D,41922,0.77,,2025-03-31
2859,MIL,KCR,4,-2.0,N,18008,0.74,,2025-04-01
2860,MIL,KCR,3,-2.0,D,19112,0.76,,2025-04-02
2861,MIL,CIN,3,-1.5,N,20113,0.88,,2025-04-03
2862,MIL,CIN,3,-1.0,N,23004,0.89,,2025-04-04
2863,MIL,CIN,3,-2.0,N,32772,0.94,,2025-04-05
2864,MIL,CIN,2,-1.0,D,25778,0.92,,2025-04-06
2871,MIL,DET,4,-2.0,N,20892,0.89,,2025-04-14
2872,MIL,DET,3,-2.0,N,18396,0.83,,2025-04-15
2873,MIL,DET,2,-1.0,D,22360,0.89,,2025-04-16
2874,MIL,ATH,2,-1.0,N,25008,0.95,,2025-04-18
2875,MIL,ATH,2,-2.0,N,30659,0.97,,2025-04-19
2876,MIL,ATH,2,-1.0,D,21512,0.95,,2025-04-20
2888,MIL,CHC,3,-4.0,N,34559,1.06,,2025-05-02
2889,MIL,CHC,3,-5.0,N,37335,0.97,,2025-05-03
2890,MIL,CHC,3,-4.0,D,37360,0.93,,2025-05-04
2891,MIL,HOU,2,-4.0,N,20306,0.84,,2025-05-05
2892,MIL,HOU,2,-3.0,N,21075,0.89,,2025-05-06
2893,MIL,HOU,2,-3.0,D,26922,0.95,,2025-05-07
